Census Tract,Value,Total,Income in the past 12 months below poverty level,Married-couple family below poverty,Married-couple family below poverty: 2 people,Married-couple family below poverty: 3 to 4 people,Married-couple family below poverty: 5 to 6 people,Married-couple family below poverty: 7 or more people,Other families below poverty,"Male householder, no spouse present below poverty",Male householder below poverty: 2 people,Male householder below poverty: 3 to 4 people,Male householder below poverty: 5 to 6 people,Male householder below poverty: 7 or more people,"Female householder, no spouse present below poverty",Female householder below poverty: 2 people,Female householder below poverty: 3 to 4 people,Female householder below poverty: 5 to 6 people,Female householder below poverty: 7 or more people,Income in the past 12 months at or above poverty level,Married-couple family above poverty,Married-couple family above poverty: 2 people,Married-couple family above poverty: 3 to 4 people,Married-couple family above poverty: 5 to 6 people,Married-couple family above poverty: 7 or more people,Other families above poverty,"Male householder, no spouse present above poverty",Male householder above poverty: 2 people,Male householder above poverty: 3 to 4 people,Male householder above poverty: 5 to 6 people,Male householder above poverty: 7 or more people,"Female householder, no spouse present above poverty",Female householder above poverty: 2 people,Female householder above poverty: 3 to 4 people,Female householder above poverty: 5 to 6 people,Female householder above poverty: 7 or more people
612.02,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612.02,Margin of Error,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
612.03,Estimate,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,318,199,119,0,0,32,16,0,16,0,0,16,16,0,0,0
612.03,Margin of Error,118,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,118,123,90,64,13,13,35,24,13,24,13,13,26,26,13,13,13
612.04,Estimate,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,159,104,55,0,0,0,0,0,0,0,0,0,0,0,0,0
612.04,Margin of Error,69,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,69,69,64,31,13,13,13,13,13,13,13,13,13,13,13,13,13
701.02,Estimate,483,156,140,140,0,0,0,16,0,0,0,0,0,16,16,0,0,0,327,261,210,43,8,0,66,10,10,0,0,0,56,20,36,0,0
701.02,Margin of Error,150,93,91,91,13,13,13,26,13,13,13,13,13,26,26,13,13,13,121,113,108,37,12,13,44,16,16,13,13,13,45,41,24,13,13
701.03,Estimate,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,80,0,39,41,0,26,0,0,0,0,0,26,26,0,0,0
701.03,Margin of Error,72,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,72,65,13,49,66,13,31,13,13,13,13,13,31,31,13,13,13
701.04,Estimate,679,93,0,0,0,0,0,93,11,11,0,0,0,82,82,0,0,0,586,518,428,90,0,0,68,24,24,0,0,0,44,44,0,0,0
701.04,Margin of Error,172,98,13,13,13,13,13,98,19,19,13,13,13,101,101,13,13,13,145,144,142,57,13,13,50,29,29,13,13,13,42,42,13,13,13
702.01,Estimate,420,110,75,75,0,0,0,35,0,0,0,0,0,35,35,0,0,0,310,265,137,128,0,0,45,0,0,0,0,0,45,45,0,0,0
702.01,Margin of Error,85,57,33,33,13,13,13,45,13,13,13,13,13,45,45,13,13,13,88,83,76,42,13,13,39,13,13,13,13,13,39,39,13,13,13
702.02,Estimate,699,92,44,4,32,8,0,48,4,0,0,4,0,44,14,0,30,0,607,470,226,222,22,0,137,55,36,19,0,0,82,82,0,0,0
702.02,Margin of Error,214,54,43,8,39,14,13,36,6,13,13,6,13,35,23,13,26,13,202,179,134,154,30,13,92,60,54,29,13,13,76,76,13,13,13
703.01,Estimate,522,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,427,281,117,29,0,68,36,36,0,0,0,32,0,32,0,0
703.01,Margin of Error,137,32,32,32,13,13,13,13,13,13,13,13,13,13,13,13,13,13,133,129,122,55,44,13,37,33,33,13,13,13,45,13,45,13,13
703.02,Estimate,446,40,7,7,0,0,0,33,0,0,0,0,0,33,33,0,0,0,406,377,267,110,0,0,29,0,0,0,0,0,29,29,0,0,0
703.02,Margin of Error,117,54,13,13,13,13,13,52,13,13,13,13,13,52,52,13,13,13,111,115,123,49,13,13,47,13,13,13,13,13,47,47,13,13,13
704.02,Estimate,541,142,83,73,10,0,0,59,6,6,0,0,0,53,24,5,24,0,399,282,207,69,6,0,117,25,10,15,0,0,92,89,3,0,0
704.02,Margin of Error,84,52,37,34,11,13,13,33,8,8,13,13,13,33,26,7,19,13,78,64,60,34,9,13,47,21,11,20,13,13,44,45,6,13,13
705.01,Estimate,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,287,213,74,0,0,45,45,34,0,11,0,0,0,0,0,0
705.01,Margin of Error,91,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,91,96,87,65,13,13,37,37,32,13,17,13,13,13,13,13,13
705.02,Estimate,810,282,195,91,104,0,0,87,0,0,0,0,0,87,24,15,48,0,528,410,265,131,14,0,118,33,18,15,0,0,85,17,68,0,0
705.02,Margin of Error,221,166,168,90,143,13,13,53,13,13,13,13,13,53,41,27,71,13,171,164,112,112,21,13,78,35,27,24,13,13,71,25,61,13,13
706,Estimate,488,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,443,252,164,27,0,24,0,0,0,0,0,24,0,24,0,0
706,Margin of Error,109,34,34,34,13,13,13,13,13,13,13,13,13,13,13,13,13,13,103,91,85,54,22,13,38,13,13,13,13,13,38,13,38,13,13
707,Estimate,659,55,4,0,4,0,0,51,0,0,0,0,0,51,29,22,0,0,604,343,219,84,40,0,261,118,118,0,0,0,143,118,25,0,0
707,Margin of Error,203,66,8,13,8,13,13,64,13,13,13,13,13,64,45,31,13,13,206,76,80,45,33,13,202,178,178,13,13,13,96,105,24,13,13
708.01,Estimate,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,81,81,0,0,0,11,11,11,0,0,0,0,0,0,0,0
708.01,Margin of Error,70,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,70,67,67,13,13,13,19,19,19,13,13,13,13,13,13,13,13
708.02,Estimate,290,21,0,0,0,0,0,21,0,0,0,0,0,21,21,0,0,0,269,249,214,35,0,0,20,0,0,0,0,0,20,20,0,0,0
708.02,Margin of Error,151,33,13,13,13,13,13,33,13,13,13,13,13,33,33,13,13,13,149,140,133,46,13,13,33,13,13,13,13,13,33,33,13,13,13
709.01,Estimate,231,51,7,7,0,0,0,44,33,0,33,0,0,11,11,0,0,0,180,119,71,48,0,0,61,0,0,0,0,0,61,37,24,0,0
709.01,Margin of Error,76,22,13,13,13,13,13,18,4,13,4,13,13,17,17,13,13,13,74,52,43,41,13,13,58,13,13,13,13,13,58,40,39,13,13
709.02,Estimate,378,67,21,21,0,0,0,46,0,0,0,0,0,46,0,46,0,0,311,285,137,143,5,0,26,14,14,0,0,0,12,12,0,0,0
709.02,Margin of Error,66,50,32,32,13,13,13,33,13,13,13,13,13,33,13,33,13,13,73,75,59,50,8,13,27,23,23,13,13,13,19,19,13,13,13
711.01,Estimate,664,80,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584,210,143,52,15,0,374,201,152,49,0,0,173,173,0,0,0
711.01,Margin of Error,203,52,52,52,13,13,13,13,13,13,13,13,13,13,13,13,13,13,188,102,95,41,23,13,177,101,65,73,13,13,157,157,13,13,13
712.01,Estimate,773,183,19,19,0,0,0,164,6,6,0,0,0,158,64,94,0,0,590,410,183,107,120,0,180,22,22,0,0,0,158,85,60,13,0
712.01,Margin of Error,149,79,20,20,13,13,13,74,10,10,13,13,13,74,64,71,13,13,143,137,61,53,133,13,91,25,25,13,13,13,94,68,53,28,13
801,Estimate,359,71,43,15,0,28,0,28,0,0,0,0,0,28,0,28,0,0,288,182,42,91,49,0,106,21,10,11,0,0,85,54,31,0,0
801,Margin of Error,98,55,49,18,13,44,13,32,13,13,13,13,13,32,13,32,13,13,90,77,38,49,47,13,71,22,15,18,13,13,70,58,36,13,13
803,Estimate,485,122,53,0,0,53,0,69,0,0,0,0,0,69,0,32,37,0,363,194,73,121,0,0,169,46,38,8,0,0,123,71,38,14,0
803,Margin of Error,115,53,50,13,13,50,13,40,13,13,13,13,13,40,13,41,44,13,117,97,62,104,13,13,94,50,44,23,13,13,80,72,31,30,13
804.01,Estimate,556,210,0,0,0,0,0,210,0,0,0,0,0,210,54,135,21,0,346,152,95,30,27,0,194,59,39,20,0,0,135,75,60,0,0
804.01,Margin of Error,111,79,13,13,13,13,13,79,13,13,13,13,13,79,45,75,26,13,105,77,66,29,33,13,83,50,45,24,13,13,70,56,42,13,13
805,Estimate,825,172,0,0,0,0,0,172,62,42,0,20,0,110,30,80,0,0,653,185,119,27,9,30,468,94,70,24,0,0,374,162,123,89,0
805,Margin of Error,166,95,13,13,13,13,13,95,75,67,13,31,13,64,36,55,13,13,133,78,63,32,17,39,117,59,50,38,13,13,103,107,61,67,13
806.01,Estimate,327,134,91,20,28,43,0,43,0,0,0,0,0,43,11,32,0,0,193,81,28,26,27,0,112,15,0,15,0,0,97,35,62,0,0
806.01,Margin of Error,103,86,78,25,32,64,13,38,13,13,13,13,13,38,16,33,13,13,88,47,21,28,37,13,62,17,13,17,13,13,56,28,49,13,13
808.01,Estimate,683,311,21,0,16,0,5,290,13,13,0,0,0,277,164,110,3,0,372,73,0,50,23,0,299,0,0,0,0,0,299,143,146,10,0
808.01,Margin of Error,170,168,22,13,19,13,10,165,21,21,13,13,13,162,151,62,10,13,98,44,13,42,25,13,101,13,13,13,13,13,101,81,83,15,13
809,Estimate,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,90,62,28,0,0,92,18,18,0,0,0,74,57,17,0,0
809,Margin of Error,85,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,85,48,39,29,13,13,68,22,22,13,13,13,70,66,25,13,13
810.01,Estimate,771,189,0,0,0,0,0,189,0,0,0,0,0,189,83,87,19,0,582,217,112,101,4,0,365,64,55,9,0,0,301,177,124,0,0
810.01,Margin of Error,218,103,19,19,19,19,19,103,19,19,19,19,19,103,83,83,34,19,210,103,75,71,15,19,202,44,40,21,19,19,193,175,74,19,19
811.01,Estimate,135,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,123,123,81,42,0,0,0,0,0,0,0,0,0,0,0,0,0
811.01,Margin of Error,67,22,22,13,22,13,13,13,13,13,13,13,13,13,13,13,13,13,71,71,47,52,13,13,13,13,13,13,13,13,13,13,13,13,13
811.02,Estimate,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,132,71,61,0,0,229,0,0,0,0,0,229,173,30,26,0
811.02,Margin of Error,225,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,225,70,48,59,13,13,216,13,13,13,13,13,216,210,38,37,13
812,Estimate,918,403,9,0,0,9,0,394,13,13,0,0,0,381,87,255,39,0,515,209,54,91,11,53,306,24,11,0,13,0,282,78,166,38,0
812,Margin of Error,151,139,14,13,13,14,13,137,21,21,13,13,13,135,53,124,44,13,129,81,40,57,17,56,119,24,14,13,20,13,116,61,96,43,13
813.01,Estimate,611,299,107,107,0,0,0,192,0,0,0,0,0,192,44,148,0,0,312,98,0,88,10,0,214,43,43,0,0,0,171,42,129,0,0
813.01,Margin of Error,258,240,111,111,13,13,13,212,13,13,13,13,13,212,67,203,13,13,116,87,13,87,21,13,105,67,67,13,13,13,80,72,69,13,13
813.02,Estimate,485,43,5,0,0,5,0,38,0,0,0,0,0,38,15,23,0,0,442,142,52,90,0,0,300,28,0,28,0,0,272,119,153,0,0
813.02,Margin of Error,151,50,9,13,13,9,13,50,13,13,13,13,13,50,24,44,13,13,152,123,69,99,13,13,180,50,13,50,13,13,186,134,182,13,13
814,Estimate,546,28,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,518,291,108,155,13,15,227,66,48,18,0,0,161,111,50,0,0
814,Margin of Error,145,41,41,13,41,13,13,13,13,13,13,13,13,13,13,13,13,13,149,105,59,74,19,20,107,52,50,23,13,13,92,80,48,13,13
815,Estimate,643,101,24,0,1,0,23,77,0,0,0,0,0,77,0,45,32,0,542,166,96,49,21,0,376,98,62,36,0,0,278,66,190,0,22
815,Margin of Error,207,67,26,13,2,13,26,56,13,13,13,13,13,56,13,52,38,13,198,67,57,35,31,13,187,64,46,46,13,13,187,51,181,13,33
817,Estimate,728,133,11,11,0,0,0,122,82,26,18,38,0,40,40,0,0,0,595,269,122,100,35,12,326,80,32,48,0,0,246,86,121,0,39
817,Margin of Error,141,81,18,18,13,13,13,83,66,40,28,42,13,48,48,13,13,13,139,113,64,90,40,21,104,47,25,37,13,13,104,68,67,13,55
818,Estimate,736,108,13,13,0,0,0,95,13,13,0,0,0,82,11,71,0,0,628,172,76,96,0,0,456,91,52,39,0,0,365,224,141,0,0
818,Margin of Error,192,58,20,20,13,13,13,60,18,18,13,13,13,57,18,62,13,13,198,80,44,68,13,13,190,76,61,45,13,13,174,134,123,13,13
819,Estimate,924,120,33,21,0,12,0,87,15,15,0,0,0,72,72,0,0,0,804,393,49,344,0,0,411,36,26,10,0,0,375,248,70,57,0
819,Margin of Error,295,87,46,32,13,21,13,75,25,25,13,13,13,84,84,13,13,13,291,318,54,312,13,13,145,35,33,15,13,13,140,121,64,67,13
820,Estimate,833,169,21,0,0,0,21,148,0,0,0,0,0,148,54,84,10,0,664,341,104,119,118,0,323,45,23,22,0,0,278,123,109,46,0
820,Margin of Error,207,89,32,13,13,13,32,90,13,13,13,13,13,90,63,67,21,13,211,174,63,84,148,13,129,46,29,33,13,13,119,83,88,43,13
821,Estimate,1124,253,0,0,0,0,0,253,0,0,0,0,0,253,125,128,0,0,871,287,106,98,49,34,584,105,52,53,0,0,479,227,145,0,107
821,Margin of Error,276,148,19,19,19,19,19,148,19,19,19,19,19,148,107,99,19,19,286,204,111,140,76,58,245,108,80,72,19,19,246,137,144,19,120
901,Estimate,1286,428,196,0,170,26,0,232,3,0,3,0,0,229,54,146,29,0,858,254,25,138,73,18,604,172,94,78,0,0,432,189,201,42,0
901,Margin of Error,326,273,268,19,243,42,19,117,6,19,6,19,19,117,64,92,42,19,190,122,37,85,53,28,169,109,91,70,19,19,144,96,103,50,19
902,Estimate,497,136,22,7,15,0,0,114,18,18,0,0,0,96,17,54,0,25,361,174,37,55,82,0,187,33,18,5,0,10,154,50,28,36,40
902,Margin of Error,81,67,22,10,19,13,13,66,31,31,13,13,13,58,17,40,13,38,69,71,37,43,52,13,66,27,21,9,13,18,67,38,28,33,39
903,Estimate,751,166,12,0,12,0,0,154,18,18,0,0,0,136,33,103,0,0,585,160,102,41,17,0,425,146,91,34,21,0,279,73,110,96,0
903,Margin of Error,163,79,18,13,18,13,13,78,31,31,13,13,13,74,30,70,13,13,154,90,76,46,25,13,159,118,106,42,33,13,114,67,81,70,13
904,Estimate,881,193,88,53,35,0,0,105,0,0,0,0,0,105,29,57,11,8,688,383,47,268,58,10,305,28,14,14,0,0,277,61,214,2,0
904,Margin of Error,181,113,79,70,44,13,13,75,13,13,13,13,13,75,46,56,19,16,187,128,43,121,56,16,141,31,23,22,13,13,135,62,112,4,13
906,Estimate,500,90,48,48,0,0,0,42,0,0,0,0,0,42,0,42,0,0,410,211,59,84,60,8,199,50,16,34,0,0,149,30,95,24,0
906,Margin of Error,120,90,79,79,13,13,13,47,13,13,13,13,13,47,13,47,13,13,95,70,43,41,55,14,76,33,18,29,13,13,73,28,62,30,13
907,Estimate,760,103,0,0,0,0,0,103,10,0,10,0,0,93,71,22,0,0,657,379,121,212,46,0,278,83,28,55,0,0,195,89,106,0,0
907,Margin of Error,151,98,13,13,13,13,13,98,16,13,16,13,13,99,86,32,13,13,146,112,59,88,29,13,104,55,34,41,13,13,95,63,72,13,13
909.01,Estimate,523,185,41,26,0,15,0,144,0,0,0,0,0,144,0,144,0,0,338,167,124,24,19,0,171,47,31,16,0,0,124,37,74,13,0
909.01,Margin of Error,111,83,33,29,13,17,13,77,13,13,13,13,13,77,13,77,13,13,111,71,62,25,20,13,75,43,36,26,13,13,74,35,65,19,13
910.01,Estimate,715,64,42,42,0,0,0,22,0,0,0,0,0,22,22,0,0,0,651,462,253,126,83,0,189,78,31,47,0,0,111,46,24,41,0
910.01,Margin of Error,236,52,38,38,13,13,13,35,13,13,13,13,13,35,35,13,13,13,235,207,149,53,107,13,103,81,29,75,13,13,59,54,30,38,13
911,Estimate,772,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,760,514,222,234,58,0,246,90,65,25,0,0,156,55,70,14,17
911,Margin of Error,171,16,16,13,16,13,13,13,13,13,13,13,13,13,13,13,13,13,175,159,119,95,51,13,107,53,44,30,13,13,99,57,70,21,27
912,Estimate,583,210,74,4,18,52,0,136,0,0,0,0,0,136,105,31,0,0,373,286,102,124,43,17,87,58,58,0,0,0,29,29,0,0,0
912,Margin of Error,167,141,63,11,28,56,13,106,13,13,13,13,13,106,100,39,13,13,100,95,47,79,34,26,59,58,58,13,13,13,31,31,13,13,13
913,Estimate,568,159,16,0,5,11,0,143,0,0,0,0,0,143,51,78,14,0,409,114,42,51,1,20,295,87,36,51,0,0,208,49,149,10,0
913,Margin of Error,100,65,18,13,9,15,13,63,13,13,13,13,13,63,33,53,17,13,87,49,27,34,8,25,84,57,28,50,13,13,73,32,69,19,13
914,Estimate,786,148,6,0,6,0,0,142,0,0,0,0,0,142,66,76,0,0,638,315,80,200,18,17,323,58,33,25,0,0,265,150,82,33,0
914,Margin of Error,190,99,11,13,11,13,13,102,13,13,13,13,13,102,76,67,13,13,177,144,44,134,18,15,118,43,31,30,13,13,111,91,58,29,13
915,Estimate,847,178,65,22,0,43,0,113,23,14,9,0,0,90,25,30,35,0,669,373,121,116,120,16,296,59,46,13,0,0,237,150,87,0,0
915,Margin of Error,169,103,81,37,13,73,13,69,18,14,13,13,13,69,43,36,41,13,127,102,66,70,82,24,110,57,51,23,13,13,98,80,47,13,13
916,Estimate,567,80,0,0,0,0,0,80,0,0,0,0,0,80,0,80,0,0,487,333,156,98,16,63,154,109,57,52,0,0,45,16,29,0,0
916,Margin of Error,171,84,13,13,13,13,13,84,13,13,13,13,13,84,13,84,13,13,154,164,113,83,30,97,87,77,56,62,13,13,41,19,40,13,13
917,Estimate,787,143,0,0,0,0,0,143,5,5,0,0,0,138,43,33,62,0,644,268,79,145,44,0,376,74,27,41,6,0,302,52,196,45,9
917,Margin of Error,138,92,13,13,13,13,13,92,10,10,13,13,13,91,44,37,77,13,131,118,46,99,45,13,88,51,25,45,9,13,97,39,90,40,14
918,Estimate,732,204,74,0,74,0,0,130,23,13,10,0,0,107,31,37,39,0,528,111,3,76,32,0,417,138,37,62,39,0,279,121,158,0,0
918,Margin of Error,162,153,117,13,117,13,13,89,28,23,16,13,13,81,39,40,41,13,125,73,6,59,41,13,108,85,58,62,47,13,92,78,87,13,13
919,Estimate,981,158,18,0,18,0,0,140,0,0,0,0,0,140,58,36,30,16,823,358,13,194,130,21,465,97,40,38,19,0,368,159,182,27,0
919,Margin of Error,216,79,25,13,25,13,13,78,13,13,13,13,13,78,58,50,37,26,215,173,20,135,85,32,125,92,65,62,30,13,110,88,94,47,13
920,Estimate,1281,180,108,75,33,0,0,72,0,0,0,0,0,72,25,22,25,0,1101,418,168,160,69,21,683,174,29,83,0,62,509,146,363,0,0
920,Margin of Error,195,110,86,75,38,19,19,62,19,19,19,19,19,62,39,31,29,19,188,129,87,86,48,25,200,106,36,70,19,68,159,69,154,19,19
921.01,Estimate,1434,201,123,0,83,40,0,78,0,0,0,0,0,78,65,13,0,0,1233,662,248,414,0,0,571,210,63,109,38,0,361,140,189,32,0
921.01,Margin of Error,333,138,102,19,88,58,19,82,19,19,19,19,19,82,80,44,19,19,344,253,133,213,19,19,252,192,61,166,58,19,168,113,155,52,19
922,Estimate,735,52,24,0,0,24,0,28,0,0,0,0,0,28,28,0,0,0,683,310,106,113,77,14,373,50,45,5,0,0,323,99,216,0,8
922,Margin of Error,148,58,39,13,13,39,13,44,13,13,13,13,13,44,44,13,13,13,145,83,65,49,55,19,129,35,34,10,13,13,126,66,113,13,16
923,Estimate,866,67,32,32,0,0,0,35,0,0,0,0,0,35,0,32,3,0,799,249,85,94,70,0,550,69,38,15,16,0,481,142,232,97,10
923,Margin of Error,117,57,42,42,13,13,13,43,13,13,13,13,13,43,13,42,9,13,116,79,38,56,44,13,132,44,33,22,22,13,128,84,119,62,15
924,Estimate,1558,353,0,0,0,0,0,353,58,58,0,0,0,295,120,175,0,0,1205,376,14,333,29,0,829,73,21,52,0,0,756,394,243,119,0
924,Margin of Error,311,211,19,19,19,19,19,211,92,92,19,19,19,172,99,119,19,19,272,234,24,231,57,19,227,63,35,51,19,19,220,139,147,84,19
1001,Estimate,1639,298,0,0,0,0,0,298,28,28,0,0,0,270,63,181,26,0,1341,581,97,267,125,92,760,78,26,31,0,21,682,314,296,72,0
1001,Margin of Error,226,154,19,19,19,19,19,154,46,46,19,19,19,149,53,149,35,19,201,184,80,148,83,85,242,67,35,50,19,35,242,187,142,68,19
1002,Estimate,858,252,60,0,31,29,0,192,9,9,0,0,0,183,0,141,42,0,606,233,89,45,95,4,373,51,30,21,0,0,322,80,198,25,19
1002,Margin of Error,138,65,42,13,34,29,13,65,13,13,13,13,13,63,13,59,37,13,141,110,49,32,94,7,106,39,33,24,13,13,100,47,88,27,23
1003,Estimate,1023,214,0,0,0,0,0,214,0,0,0,0,0,214,66,106,42,0,809,394,52,169,173,0,415,30,25,5,0,0,385,90,278,17,0
1003,Margin of Error,190,104,13,13,13,13,13,104,13,13,13,13,13,104,57,77,47,13,215,177,45,84,150,13,127,33,32,8,13,13,121,62,101,29,13
1004,Estimate,1416,361,106,11,46,49,0,255,12,12,0,0,0,243,14,179,50,0,1055,612,49,334,229,0,443,118,48,70,0,0,325,189,136,0,0
1004,Margin of Error,271,161,83,17,59,44,19,146,20,20,19,19,19,144,23,158,66,19,257,236,46,164,172,19,150,97,58,81,19,19,114,92,89,19,19
1005,Estimate,1609,162,28,0,28,0,0,134,0,0,0,0,0,134,49,85,0,0,1447,1066,309,473,229,55,381,145,94,51,0,0,236,151,85,0,0
1005,Margin of Error,263,95,33,19,33,19,19,101,19,19,19,19,19,101,59,82,19,19,268,212,150,182,137,58,138,109,89,63,19,19,128,111,71,19,19
1006.01,Estimate,1217,91,43,43,0,0,0,48,0,0,0,0,0,48,29,19,0,0,1126,688,247,296,130,15,438,144,76,68,0,0,294,127,155,0,12
1006.01,Margin of Error,250,87,71,71,19,19,19,52,19,19,19,19,19,52,45,32,19,19,254,236,122,166,79,22,208,81,62,65,19,19,206,143,117,19,25
1006.03,Estimate,479,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,478,275,150,113,12,0,203,114,71,43,0,0,89,69,20,0,0
1006.03,Margin of Error,112,5,13,13,13,13,13,5,13,13,13,13,13,5,5,13,13,13,111,83,67,52,16,13,93,83,51,69,13,13,36,32,20,13,13
1007,Estimate,875,9,0,0,0,0,0,9,9,0,0,9,0,0,0,0,0,0,866,689,258,252,174,5,177,10,0,10,0,0,167,78,47,42,0
1007,Margin of Error,151,15,13,13,13,13,13,15,15,13,13,15,13,13,13,13,13,13,152,189,84,137,81,9,94,18,13,18,13,13,95,54,59,42,13
1008,Estimate,1606,141,26,26,0,0,0,115,20,20,0,0,0,95,95,0,0,0,1465,849,492,357,0,0,616,83,54,29,0,0,533,158,375,0,0
1008,Margin of Error,290,110,41,41,19,19,19,103,33,33,19,19,19,97,97,19,19,19,304,226,181,140,19,19,219,77,63,50,19,19,214,106,205,19,19
1009,Estimate,1009,79,29,8,21,0,0,50,0,0,0,0,0,50,8,0,42,0,930,510,175,161,163,11,420,75,50,25,0,0,345,128,126,52,39
1009,Margin of Error,202,56,32,12,31,13,13,45,13,13,13,13,13,45,13,13,47,13,206,116,76,73,85,16,189,55,40,39,13,13,179,77,121,86,58
1010.01,Estimate,1574,42,0,0,0,0,0,42,0,0,0,0,0,42,0,22,20,0,1532,769,331,296,107,35,763,259,0,245,14,0,504,219,261,24,0
1010.01,Margin of Error,292,57,19,19,19,19,19,57,19,19,19,19,19,57,19,38,38,19,281,211,148,170,116,50,271,212,19,210,24,19,212,173,151,39,19
1010.02,Estimate,1686,331,47,0,27,20,0,284,0,0,0,0,0,284,92,153,39,0,1355,570,175,278,117,0,785,72,72,0,0,0,713,449,264,0,0
1010.02,Margin of Error,341,144,49,19,35,33,19,137,19,19,19,19,19,137,74,116,59,19,345,189,117,134,110,19,315,66,66,19,19,19,310,294,136,19,19
1011.01,Estimate,918,81,15,0,15,0,0,66,22,22,0,0,0,44,15,20,9,0,837,463,41,339,46,37,374,158,125,0,33,0,216,70,120,26,0
1011.01,Margin of Error,143,50,23,13,23,13,13,47,26,26,13,13,13,41,22,31,20,13,138,144,45,117,58,56,136,110,99,13,49,13,104,58,82,35,13
1011.02,Estimate,1198,239,47,0,0,47,0,192,0,0,0,0,0,192,42,89,30,31,959,414,102,210,75,27,545,142,92,10,19,21,403,205,162,36,0
1011.02,Margin of Error,189,88,34,19,19,34,19,97,19,19,19,19,19,97,37,63,50,48,184,125,71,109,63,47,175,108,101,19,31,33,141,101,107,39,19
1101.04,Estimate,502,214,0,0,0,0,0,214,0,0,0,0,0,214,48,166,0,0,288,72,48,0,8,16,216,124,68,0,56,0,92,36,55,1,0
1101.04,Margin of Error,151,76,13,13,13,13,13,76,13,13,13,13,13,76,79,80,13,13,156,89,79,13,28,31,157,115,106,13,59,13,89,71,58,35,13
1101.05,Estimate,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,377,231,113,33,0,62,20,20,0,0,0,42,19,23,0,0
1101.05,Margin of Error,200,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,200,197,159,106,17,13,56,34,34,13,13,13,43,31,35,13,13
1101.06,Estimate,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,387,282,68,37,0,17,0,0,0,0,0,17,15,2,0,0
1101.06,Margin of Error,316,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,316,313,312,70,23,13,30,13,13,13,13,13,30,25,18,13,13
1102.01,Estimate,580,51,3,0,3,0,0,48,17,17,0,0,0,31,24,7,0,0,529,316,30,218,46,22,213,24,5,19,0,0,189,80,79,30,0
1102.01,Margin of Error,107,38,6,13,6,13,13,39,24,24,13,13,13,27,24,11,13,13,107,94,25,103,42,19,68,23,10,21,13,13,61,47,45,28,13
1103.01,Estimate,641,13,0,0,0,0,0,13,0,0,0,0,0,13,12,1,0,0,628,439,117,256,66,0,189,52,49,3,0,0,137,65,72,0,0
1103.01,Margin of Error,93,14,13,13,13,13,13,14,13,13,13,13,13,14,13,4,13,13,94,91,50,77,35,13,76,42,42,6,13,13,66,52,43,13,13
1104.01,Estimate,1068,107,10,0,0,10,0,97,40,19,21,0,0,57,53,4,0,0,961,530,163,325,32,10,431,45,45,0,0,0,386,235,151,0,0
1104.01,Margin of Error,131,67,19,13,13,19,13,69,49,30,36,13,13,63,63,6,13,13,141,156,81,144,34,16,157,46,46,13,13,13,143,141,81,13,13
1104.03,Estimate,1203,62,14,10,0,4,0,48,16,0,16,0,0,32,32,0,0,0,1141,836,268,532,36,0,305,107,70,22,15,0,198,115,73,10,0
1104.03,Margin of Error,185,46,17,15,13,8,13,43,26,13,26,13,13,37,37,13,13,13,189,157,95,143,29,13,94,59,54,26,24,13,83,68,53,16,13
1105.01,Estimate,812,13,0,0,0,0,0,13,0,0,0,0,0,13,0,13,0,0,799,568,209,335,24,0,231,69,28,41,0,0,162,71,91,0,0
